,id.row,row.order,disease,multi.disease.flag,geocode.flag,country..source.,region..source.,affected.locations,years,date,cases..total.,cases..human.,cases..animal.,deaths..total.,deaths..human.,deaths..animal.,population,source,notes,setting,clinical,pathogen,lon,lat
853,853,1176,Bolivian hemorrhagic fever,0,0,bolivia,Beni Department,,2011 - 2012,,13,,,7,,,,,,,,,-65.0957792,-14.3782747
854,854,1177,Bolivian hemorrhagic fever,0,0,bolivia,Beni Department,,2013,,3,,,,,,,,,,,,-65.0957792,-14.3782747
861,861,1434,brucellosis,0,0,algeria,El Aghuat,,2004,,45,,,,,,,milk - goat,,,,,1.659626,28.033886
862,862,1435,brucellosis,0,0,algeria,Bouira,,2015,,14,,,,,,,,14 cases reported in one week.,,,,3.8989856,36.3740224
863,863,1436,brucellosis,0,0,algeria,Ghardaia,,2016,,819,,,,,,,,,,,,3.6738412,32.4902246
864,864,1437,brucellosis,0,0,argentina,,,1994*,,,,,,,,a family,cheese - goat,,,,Brucella melitensis,-63.616672,-38.416097
865,865,1438,brucellosis,0,0,argentina,,,1997*,,33,,,,,,,goat,,,,Brucella melitensis,-63.616672,-38.416097
866,866,1439,brucellosis,0,0,argentina,,,2009*,,6,,,,,,,dog,,,,Brucella canis,-63.616672,-38.416097
867,867,1440,brucellosis,0,0,argentina,multiple locations (?),,2010*,,,y,,,,,two families,cheese,2 outbreaks among members of two families related to consumption of home-made cheese.,,,,-63.616672,-38.416097
868,868,1441,brucellosis,0,0,argentina,Tierra del Fuego,,2012,,8,,,,,,workers,dog,,animal shelter,,Brucella canis,-68.3242061,-54.8053998
869,869,1442,brucellosis,0,0,armenia,Suunik Province,,2015,,17,,,,,,,,,slaughter facility,,,46.3393234,39.5133112
870,870,1443,brucellosis,0,0,australia,South Australia,,1979 - 1980,,22,,,,,,workers,,,abattoir,,Brucella abortus,136.2091547,-30.0002315
871,871,1444,brucellosis,0,0,azerbaijan,multiple locations,,2001,,,,y,,,,cattle,,Epizootic among cattle in Neftcala (southeastern Azerbaijan) and Xacmaz (northeastern Azerbaijan) Districts.,,,,47.576927,40.143105
872,872,,brucellosis,0,0,azerbaijan,Neftcala District,,2001,,,,y,,,,cattle,,"""",,,,49.2413743,39.3881052
873,873,,brucellosis,0,0,azerbaijan,Xacmaz District,,2001,,,,y,,,,cattle,,"""",,,,48.7825101,41.481364
874,874,1445,brucellosis,0,0,azerbaijan,Khachmazskiy District,,2008,,14,,,,,,,,Outbreak in Niyazabad (Khachmazskiy district).,,,,48.7825101,41.481364
875,875,1446,brucellosis,0,0,belgium,Namur,,2012,,,,y,,,,cattle,,Outbreak of Brucella suis biovar 2 infection among cattle. An unrelated cattle outbreak of Brucella abortus infection was reported in the same region.,,,Brucella suis,4.8719854,50.4673883
876,876,1447,brucellosis,0,0,bolivia,Potosi,,2012,,5,,,,,,,,,,,,-65.7550063,-19.5722805
877,877,1448,brucellosis,0,0,bosniaherzegovina,Central Bosnia Canton,,2005,,39,,,,,,,,,,,,17.6866714,44.1381856
878,878,1449,brucellosis,0,0,bosniaherzegovina,multiple locations (?),,2008,,757,,,,,,,,,,,,17.679076,43.915886
879,879,1450,brucellosis,0,0,brazil,Sao Paolo,,2006,,1+,1,y,,,,pigs,,One human case reported during the outbreak.,,,Brucella suis,-46.6333094,-23.5505199
880,880,1451,brucellosis,0,0,brazil,Parana,,2013,,17,,,,,,workers,,,slaughterhouse,,,-52.0215415,-25.2520888
881,881,1452,brucellosis,0,0,brazil,Minas Gerais,,2013*,,3,,,,,,lab workers,,,laboratory,,Brucella abortus,-44.5550308,-18.512178
882,882,1454,brucellosis,0,0,bulgaria,Zlatograd,,2006,,,,,,,,goats,,,farm,,,25.096521,41.3798446
883,883,1455,brucellosis,0,0,bulgaria,Haskovo,,2007,,141,,,,,,,,An outbreak (141 cases) was reported in Haskovo.,,,,25.5554462,41.9344366
884,884,1456,brucellosis,0,0,bulgaria,multiple locations,,2007,,,,y,,,,animals,,"Outbreaks were reported among animals in Valche pole, Harmanli, and Haskovo.",,,,25.48583,42.733883
885,885,,brucellosis,0,0,bulgaria,Valche pole,,2007,,,,y,,,,animals,,"""",,,,26.0116076,41.6882379
886,886,,brucellosis,0,0,bulgaria,Harmanli,,2007,,,,y,,,,animals,,"""",,,,25.9025865,41.9304124
887,887,,brucellosis,0,0,bulgaria,Haskovo,,2007,,,,y,,,,animals,,"""",,,,25.5554462,41.9344366
888,888,1457,brucellosis,0,0,bulgaria,Kyustendil,,2015,,,,y,,,,ruminants,,"Outbreaks were reported among local cattle, goats, and sheep.",,,,22.6939308,42.2868817
889,889,1458,brucellosis,0,0,bulgaria,Kyustendil,,2015,,31,,,,,,,,An outbreak (31 cases) was reported in Kyustendil.,,,,22.6939308,42.2868817
890,890,1459,brucellosis,0,0,canada,Alberta,,1986,,,,,,,,cattle,,,,,,-116.5765035,53.9332706
891,891,1460,brucellosis,0,0,canada,Saskatchewan,,2008*,,,,,,,,dogs,,,dog shelter,,,-106.4508639,52.9399159
892,892,1461,brucellosis,0,0,canada,Nunavut,,2012,,,,,,,,caribou,,,,,Brucella suis,-83.107577,70.2997711
893,893,1462,brucellosis,0,0,chile,Osorno,,2006,,,,,,,,cattle,,,,,,-73.1149469,-40.5761897
894,894,1463,brucellosis,0,0,china,Shaanxi Province (Sui-de County),,1995 - 1996,,,,,,,,,,"Outbreak in Sui-de County, Shaanxi Province.",,,Brucella melitensis,110.263362,37.50294
895,895,1464,brucellosis,0,0,china,Qinling,,2009,,10,,10,,,,takins,,Outbreak among takins (Budorcas taxicolor).,,,Brucella melitensis,113.048576,22.517576
896,896,1465,brucellosis,0,0,china,Heilongjiang,,2011,,28,,,,,,,,Outbreak at a veterinary school anatomy laboratory.,veterinary school,,,128.738231,47.1216472
897,897,1466,brucellosis,0,0,china,Heilongjiang,,2012,,36,,,,,,workers,,,dairy,,,128.738231,47.1216472
898,898,1467,brucellosis,0,0,china,Guangdong (Guangzhou),,2012,,3,3,,,,,,transplacental,Outbreak involved congenital transmission from a mother to her two children.,,,,113.264385,23.12911
899,899,1468,brucellosis,0,0,china,Jiangsu,,2013,,6,6,,,,,a family,goat,Outbreak associated with contact with imported goats.,,,,119.7889248,33.1401715
900,900,1469,brucellosis,0,0,china,Jiangsu,,2014*,,7,,,,,,,sheep,,,,,119.7889248,33.1401715
901,901,1470,brucellosis,0,0,china,Southeast Region,,2016*,,,y,,,,,,sheep,Outbreak in a pharmaceutical factory associated with contact with contaminated sheep placentas.,factory,,,104.195397,35.86166
902,902,1471,brucellosis,0,0,china,Inner Mongolia (Ulanqab),,2017*,,,y,,,,,,,"Outbreak of multifocal and intra-familial brucellosis reported in Ulanqab, Inner Mongolia.",,,Brucella melitensis,113.132585,40.994785
903,903,1472,brucellosis,0,0,croatia,Hrvace,,2004,,,,,,,,sheep,,,,,,16.6204644,43.7563619
904,904,1473,brucellosis,0,0,croatia,Split Dalmatia,,2010,,5,,,,,,sheep,,,,,,16.8178377,43.5240328
905,905,1474,brucellosis,0,0,croatia,Korenica,,2013,,79,,,,,,sheep,,,,,,15.7066014,44.743965
906,906,1475,brucellosis,0,0,cyprus,Northern Region,,2014,,,,,,,,ruminants,,,,,,33.6577243,35.2480359
907,907,1476,brucellosis,0,0,france,Alpe massif Region,,2012,,,,,,,,,,,,,,6.667439,46.074815
908,908,1477,brucellosis,0,0,georgia,Lagodechi,,2007,,26,,,,,,,,,,,,46.2781308,41.8186298
909,909,1478,brucellosis,0,0,germany,Pfalz,,1966*,,,,,,,,pigs,,,,,,10.451526,51.165691
910,910,1479,brucellosis,0,0,germany,Western Region,,1976*,,,,,,,,dogs,,,,,,7.0982068,50.73743
911,911,1480,brucellosis,0,0,germany,Goettingen,,1982,,15,,,,,,,sheep,,,,,9.9158035,51.5412804
912,912,1481,brucellosis,0,0,germany,,,1995*,,,,,,,,pigs,,,,,,10.451526,51.165691
913,913,1482,brucellosis,0,0,germany,Brandenburg,,2010,,,,,,,,pigs,,,,,,13.2162494,52.1313922
914,914,1483,brucellosis,0,0,greece,,Bulgaria,2005,,40,40,,2,2,,cattle workers,,Outbreak among Bulgarian cattle workers in Greece.,,,,21.824312,39.074208
915,915,1484,brucellosis,0,0,greece,Thassos,,2008,,131,,,,,,,dairy product,,,,,24.6483706,40.6844991
916,916,1485,brucellosis,0,0,honduras,Northwest Region,,2013,,,,,,,,cattle,,,,,,-86.241905,15.199999
917,917,1486,brucellosis,0,0,india,Bhiwani,,1962*,,,,,,,,,,,,,Brucella melitensis,75.9927652,28.7751693
918,918,1487,brucellosis,0,0,india,,,1967*,,,y,,,,,a family,,Outbreak in an urban family.,,,,78.96288,20.593684
919,919,1488,brucellosis,0,0,india,Rajasthan,,1999,,48,,,,,,,,Outbreak (48 cases) of febrile polyarthritis.,,arthritis,,74.2179326,27.0238036
920,920,1489,brucellosis,0,0,iraq,,Japan (Tokyo),1998,,2,2,,,,,a family   ,,"Outbreak among a husband and wife, following return of the husband to Japan from Iraq.",,,,43.679291,33.223191
921,921,1490,brucellosis,0,0,ireland,County Clare,,2005,,,,,,,,cattle,,,,,,-8.9811351,52.904532
922,922,1493,brucellosis,0,0,israel,Beer Sheva,,1957,,79,,,,,,,,,,,,34.791462,31.252973
923,923,1494,brucellosis,0,0,israel,Beer Sheva,,1997,,7,,,,,,hospital staff,,,hospital,,,34.791462,31.252973
924,924,1495,brucellosis,0,0,israel,,,1999*,,16,,,,,,,,,kibbutz,,,34.851612,31.046051
925,925,1496,brucellosis,0,0,israel,,,1999*,,9,,,,,,workers,,,meat processing plant,,,34.851612,31.046051
926,926,1497,brucellosis,0,0,israel,Beer Sheva,,2007*,,5,5,,,,,health-care workers,,Outbreak among physicians treating an infected mother and newborn infant.,,,,34.791462,31.252973
927,927,1498,brucellosis,0,0,israel,Southern Region,,2011,,15,,,,,,Bedouin,milk - camel,,,,,35.0388164,30.829562
928,928,1499,brucellosis,0,0,israel,multiple locations,,2014,,,y,,,,,,milk,Outbreak in Afula associated with ingestion of unpasteurized milk. Additional outbreaks were reported in the Western Galilee and Jerusalem.,,,,34.851612,31.046051
929,929,,brucellosis,0,0,israel,Afula,,2014,,,y,,,,,,milk,"""",,,,35.287922,32.6104931
930,930,,brucellosis,0,0,israel,Western Galilee,,2014,,,y,,,,,,milk,"""",,,,35.105166,33.060252
931,931,,brucellosis,0,0,israel,Jerusalem,,2014,,,y,,,,,,milk,"""",,,,35.21371,31.768319
932,932,1500,brucellosis,0,0,israel,multiple locations (?),,2016,,22,,,,,,,milk - camel,,,,,34.851612,31.046051
933,933,1501,brucellosis,0,0,italy,Val dAosta,,1946,,,,,,,,,,,,,,7.4261866,45.7388878
934,934,1502,brucellosis,0,0,italy,Milan,,1959 - 1960,,,,,,,,,,,,,,9.189982,45.4642035
935,935,1503,brucellosis,0,0,italy,,UK (England),1965,,7,7,,,,,,cheese,Outbreak in England associated with pecorino cheese imported from Italy.,,,Brucella melitensis,12.56738,41.87194
936,936,1504,brucellosis,0,0,italy,Como,,1968*,,,,,,,,,,,,,,9.0851765,45.8080597
937,937,1505,brucellosis,0,0,italy,Campania,,1984 - 1986,,762,,,,,,,,,,,,14.8475139,41.1099473
938,938,1506,brucellosis,0,0,italy,Sassari,,2000*,,12,,,,,,,,,microbiology,,,8.5556826,40.7259269
939,939,1507,brucellosis,0,0,italy,Sicily,,2003,,29,,,,,,,,,religious event - celebration,,,14.0153557,37.5999938
940,940,1508,brucellosis,0,0,italy,Sicily,,2005*,,5,,,,,,workers,,,abattoir,,,14.0153557,37.5999938
941,941,1509,brucellosis,0,0,italy,Teviso,,2005,,5,,,,,,,cheese,,,,,12.2430437,45.6668893
942,942,1511,brucellosis,0,0,japan,Okayama (Kawasaki),,2001,,5,y,,,,,workers,moose,Outbreak among zoo workers who had treated a pregnant moose.,zoo,,,134.032471,35.0606171
943,943,1512,brucellosis,0,0,kazakhstan,Kzyl Orda,,1999,,20,,,,,,,meat - beef,,,,,65.4822686,44.8488314
944,944,1513,brucellosis,0,0,kazakhstan,Aqmola,,2010,,19,,,,,,,,,,,,69.4110494,51.916532
945,945,1514,brucellosis,0,0,kenya,Northeast Region,,2011*,,,y,,,,,nomads,,Outbreak among Somali nomads in northeastern Kenya.,,,,37.906193,-0.023559
946,946,1515,brucellosis,0,0,kyrgyzstan,Jelalabad,,2005,,183,y,,,,,,multiple,Outbreak ascribed to ingestion of contaminated dairy and meat products.,,,,72.9814877,40.9331541
947,947,1516,brucellosis,0,0,kyrgyzstan,Chuiskiy,,2006,,9,,,,,,,,,,,,74.766098,41.20438
948,948,1517,brucellosis,0,0,latvia,Talsi,,2010,,8,,,,,,pigs,,,,,,22.5873858,57.2480409
949,949,1518,brucellosis,0,0,lebanon,Wadi el Arayesh,,2004,,50,,,,,,,,,,,,35.4821693,33.8846797
950,950,1519,brucellosis,0,0,lebanon,Chouf district,,2009,,,,,,,,,cheese,,,,,35.5812837,33.6948309
951,951,--------,brucellosis,0,0,liberia,,,1962*,,,,,,,,,,Outbreak reported - additional details unavailable.,,,,-9.429499,6.428055
952,952,1520,brucellosis,0,0,malaysia,Pulau Pinang,,2011 - 2012,,79,y,,,,,,milk - goat,,,,,100.3327617,5.4163459
953,953,1521,brucellosis,0,0,malta,,,1995,,135,135,,1,1,,,cheese - goat,"Outbreak associated with consumption of soft goat cheeses (""gbejniet"").",,,,14.375416,35.937496
954,954,1522,brucellosis,0,0,mexico,,USA (Texas),1983,,31,31,,,,,,cheese - goat,Outbreak in the USA caused by imported goat cheese from Mexico.,,,,-102.552784,23.634501
955,955,1523,brucellosis,0,0,mexico,multiple locations,,2009,,246,246,,,,,,cheese,Outbreaks (136 cases in Guanajuato and 110 in Romita) were ascribed to unpasteurized cheese.,,,,-102.552784,23.634501
956,956,,brucellosis,0,0,mexico,Guanajuato,,2009,,136,136,,,,,,cheese,"""",,,,-101.2573586,21.0190145
957,957,,brucellosis,0,0,mexico,Romita,,2009,,110,110,,,,,,cheese,"""",,,,-101.5168556,20.8708929
958,958,1524,brucellosis,0,0,mexico,Michoacan,,2012,,,,,,,,,,,,,,-101.7068294,19.5665192
959,959,1525,brucellosis,0,0,mexico,Jalisco,,2012,,142,,,,,,,,Outbreak was reported in Jalisco (142 cases to July).,,,,-103.3494376,20.6595382
960,960,1526,brucellosis,0,0,mexico,Guanajuato,,2015*,,,,,,,,,,,,,,-101.2573586,21.0190145
961,961,1527,brucellosis,0,0,mexico,Zacatecas,,2017,,5,5,,,,,,cheese,Outbreak associated with unpasteurized cheese.,,,,-102.5832426,22.7708555
962,962,--------,brucellosis,0,0,nigeria,,,1979*,,,,,,,,,,,,,,8.675277,9.081999
963,963,1528,brucellosis,0,0,oman,North Batinah,,2016,,55,,,,,,,,,,,,56.7298904,24.3419846
964,964,1529,brucellosis,0,0,panama,Chirqui,,2004,,60,,,,,,cattle,,,,,,-82.3885783,8.584898
965,965,1530,brucellosis,0,0,panama,Capira,,2013,,7+,7,y,,,,,,Bovine infection also reported in the region.,,,,-79.8576828,8.7600869
966,966,1531,brucellosis,0,0,peru,Lima,,2007 - 2008,,13,13,,,,,,,Outbreak in a police station cafeteria.,cafeteria,,,-77.042754,-12.0463731
967,967,1532,brucellosis,0,0,portugal,Baiao,,2014,,13,,,,,,,cheese,,,,,-8.035514,41.1617715
968,968,1533,brucellosis,0,0,qatar,,,2016*,,14,,,,,,a family  ,milk - camel,Outbreak of Brucella abortus and B. melitensis infections.,,,multiple,51.183884,25.354826
969,969,1539,brucellosis,0,0,romania,Constanta,,2008,,1284,,,,,,pigs,,,,,,28.6348138,44.1598013
970,970,1540,brucellosis,0,0,russia,Sverdlovsk,,1961*,,,,,,,,,,,,,,61.9316226,59.007735
971,971,1541,brucellosis,0,0,russia,,,1992*,,,y,,,,,mil pers,sheep,Outbreak affecting 13% of personnel in a military unit was ascribed to contaminated mutton.,military establishment,,Brucella melitensis,105.318756,61.52401
972,972,1542,brucellosis,0,0,russia,Dagestan,,2002,,,,,,,,,,,,,,47.0949799,42.1431886
973,973,1543,brucellosis,0,0,russia,Moscow,,2003,,,,y,,,,multiple,,Outbreak among sheep and goats used as food animals in the Moscow Zoo. 200 animals were destroyed following identification of brucellosis.,zoo,,,37.6172999,55.755826
974,974,1544,brucellosis,0,0,russia,Perm,,2005,,25,,,,,,sheep,,,,,,56.2667916,58.0296813
975,975,1545,brucellosis,0,0,russia,Dagestan (Akushinskiy district),,2005,,7,,,,,,,,"Outbreak in Akushinskiy district, Dagestan.",,,,47.3610973,42.2232497
976,976,1546,brucellosis,0,0,russia,Buryatia,,2007,,132,,,,,,ovines,,,,,,112.406053,54.8331146
977,977,1547,brucellosis,0,0,russia,multiple locations,,2007,,550+,,,,,,ovines,,"Outbreaks in the Samara region (400 cases), Sverdlovsk, and the Kaluga region (150 cases).",,,,105.318756,61.52401
978,978,,brucellosis,0,0,russia,Samara region,,2007,,400,,,,,,ovines,,"""",,,,50.2212463,53.2415041
979,979,,brucellosis,0,0,russia,Sverdlovsk,,2007,,,,,,,,ovines,,"""",,,,61.9316226,59.007735
980,980,,brucellosis,0,0,russia,Kaluga region,,2007,,150,,,,,,ovines,,"""",,,,36.2850973,54.5518584
981,981,1548,brucellosis,0,0,russia,Kachuk village (Altai krai),,2008,,128,,128,,,,ovines,,Outbreak (116 sheep and 12 goats) in Kachuk village (Altai krai).,,,,82.6758596,51.7936298
982,982,1549,brucellosis,0,0,russia,Altai,,2008,,38,3,35,,,,,sheep,35 infected sheep also identified in the region.,,,,86.2199308,50.6181924
983,983,1550,brucellosis,0,0,russia,Omsk,,2009,,30,,,,,,,,,,,,73.3242361,54.9884804
984,984,1551,brucellosis,0,0,russia,Voronezh,,2009,,10,,,,,,farmers,,,,,,39.2088823,51.6754966
985,985,1552,brucellosis,0,0,russia,ChuvashRepublic,,2009,,,,y,,,,ruminants,,Outbreak among cattle and small ruminants in the Chuvash Republic - the first cases of brucellosis in this region in 40 years.,,,,46.9283535,55.5595992
986,986,1553,brucellosis,0,0,russia,multiple locations,,2010,,,,y,,,,ruminants,,Outbreak among cattle and sheep in the Sarotov region and among cattle in Volgograd.,,,,105.318756,61.52401
987,987,1554,brucellosis,0,0,russia,Dagestan,,2011,,2694,248,2446,,,,multiple,,"Outbreaks among humans (248), cattle (1,620), and ovines (826) in Dagestan.",,,,47.0949799,42.1431886
988,988,1555,brucellosis,0,0,russia,Rostov,,2011 - 2012,,5,,,,,,,,,farm,,,39.4131527,57.195623
989,989,1556,brucellosis,0,0,russia,Orlov,,2011,,,,y,,,,cattle,,Outbreaks among cattle in Orlov region.,,,,48.8886769,58.5456772
990,990,1557,brucellosis,0,0,russia,multiple locations,,2011,,28,28,,,,,,,"Outbreaks among humans in Volgograd (5 cases), Orenburg (11 cases), and Bashkortostan (12 cases).",,,,105.318756,61.52401
991,991,,brucellosis,0,0,russia,Volgograd,,2011,,5,5,,,,,,,"""",,,,44.5133035,48.708048
992,992,,brucellosis,0,0,russia,Orenburg,,2011,,11,11,,,,,,,"""",,,,55.1004538,51.7666482
993,993,,brucellosis,0,0,russia,Bashkortostan,,2011,,12,12,,,,,,,"""",,,,56.1645257,54.2312172
994,994,1558,brucellosis,0,0,russia,Volgograd,,2012,,,,,,,,cattle,,,,,,44.5133035,48.708048
995,995,1559,brucellosis,0,0,russia,Tula,,2014,,,,,,,,sheep,,,,,,37.6184915,54.204836
996,996,1560,brucellosis,0,0,russia,Stavropol,,2015,,73,,,,,,,,,,,,41.9683431,45.0454764
997,997,1561,brucellosis,0,0,russia,multiple locations,,2015,,,,y,,,,multiple,,Outbreak among small ruminants in Tver Oblast and cattle in Rostov region.,,,,105.318756,61.52401
998,998,,brucellosis,0,0,russia,Tver Oblast,,2015,,,,y,,,,multiple,,"""",,,,33.9853142,57.0021654
999,999,,brucellosis,0,0,russia,Rostov region,,2015,,,,y,,,,multiple,,"""",,,,39.4131527,57.195623
1000,1000,1562,brucellosis,0,0,saudiarabia,Jizan,,2004,,25,,,,,,,,Outbreak in the Al-Reeth region (Jizan).,,,,42.5705674,16.8893586
1001,1001,1563,brucellosis,0,0,serbiamontenegro,Sabac,,2004,,12,,,,,,,milk,,,,,21.005859,44.016521
1002,1002,1564,brucellosis,0,0,somalia,Northeast Region,,2011*,,,y,,,,,nomads,,Outbreak among Somali nomads in northeastern Kenya.,,,,45.2993862,9.4460587
1003,1003,1534,brucellosis,0,0,southkorea,Jeollabuk-Do (Jeongeup City),,2003,,11,,,,,,cattle workers,,"Outbreak in Jeongeup City, Jeollabuk-Do.",,,,126.8558955,35.5698855
1004,1004,1535,brucellosis,0,0,southkorea,,,2003,,,,y,,,,cattle,,Outbreaks involving 10 farms resulted in slaughter of 900 cattle.,farm,,,127.766922,35.907757
1005,1005,1536,brucellosis,0,0,southkorea,North Cholla Province (Chongup),,2004,,15,,,,,,cattle,,"Outbreak in Chongup, North Cholla Province.",,,,126.7276958,35.0447183
1006,1006,1537,brucellosis,0,0,southkorea,,,2009*,,,,,,,,elk,,,,,Brucella abortus,127.766922,35.907757
1007,1007,1538,brucellosis,0,0,southkorea,Jeju,,2012 - 2013,,,y,,,,,,meat,Outbreak related to ingestion of raw fetal calf.,,,,126.4983023,33.4890113
1008,1008,1565,brucellosis,0,0,spain,,USA,1984*,,7,7,,,,,students,,Outbreak among American high school students on tour in Spain.,,,,-3.74922,40.463667
1009,1009,1566,brucellosis,0,0,spain,Girona,,1987,,22,,,,,,lab workers,,,laboratory,,Brucella melitensis,2.8214264,41.9794005
1010,1010,1567,brucellosis,0,0,spain,Seville,,1994*,,4,,,,,,lab workers,,,laboratory,,Brucella melitensis,-5.9844589,37.3890924
1011,1011,1568,brucellosis,0,0,spain,Castilla La,,1996*,,81,,,,,,,cheese,,,,,-3.097702,39.2795607
1012,1012,1569,brucellosis,0,0,spain,Seville,,1996,,,,,,,,workers,,,slaughter facility,,,-5.9844589,37.3890924
1013,1013,1570,brucellosis,0,0,spain,Zaragoza,,1998 - 1999,,28,,,,,,workers,,Outbreak ascribed to ascribed to airborne spread of brucellae.,slaughter facility,,,-0.8890853,41.6488226
1014,1014,1571,brucellosis,0,0,spain,Andalusia,,2002,,11,,,,,,,cheese - goat,,,,,-4.7277528,37.5442706
1015,1015,1572,brucellosis,0,0,spain,Elche,,2008*,,9,9,,,,,immigrants,milk - goat,Outbreak among Moroccan immigrants in Spain.,,,Brucella melitensis,-0.7125608,38.2699329
1016,1016,1573,brucellosis,0,0,spain,Ciudad Real,,2009*,,,,,,,,,,3 outbreaks during a one-year period.,,,,-3.9273778,38.9848295
1017,1017,1574,brucellosis,0,0,spain,Extremadura,,2010*,,40000,,40000,,,,cattle,,"Outbreak involved 1,000 cattle herds.",,,,-6.0679194,39.4937392
1018,1018,1575,brucellosis,0,0,spain,,,2010*,,,y,y,,,,multiple,,Outbreak among humans and cattle.,,,,-3.74922,40.463667
1019,1019,1576,brucellosis,0,0,sudan,Darfur,,2008*,,,,,,,,camels,,,,,,24.9042208,14.3782747
1020,1020,1577,brucellosis,0,0,syria,Idlib,,2013,,336,,,,,,,,Outbreak related to ongoing civil unrest.,,,,36.6417777,35.9310271
1021,1021,1578,brucellosis,0,0,thailand,Ratchaburi,,2003,,40,,,,,,,milk - goat,,,,,99.8134211,13.5282893
1022,1022,1579,brucellosis,0,0,thailand,Kanchanaburi,,2005,,19,,,,,,farmers,goat,,,,,99.4179431,14.1011393
1023,1023,1580,brucellosis,0,0,thailand,Nakhon Nayok,,2006,,3,,,,,,,goat,,,,,101.2130511,14.2069466
1024,1024,1581,brucellosis,0,0,turkey,Ankara,,1979,,23,,,,,,,,,village,,,32.8597419,39.9333635
1025,1025,1582,brucellosis,0,0,uk,Oxford,,1939,,31,31,,,,,students,milk,Outbreak at a boys school in Oxford was associated with consumption of raw milk.,school,,Brucella abortus,-1.2577263,51.7520209
1026,1026,1583,brucellosis,0,0,uk,Worcestershire,,1964*,,,,,,,,,,,,,,-2.2668382,52.2545225
1027,1027,1584,brucellosis,0,0,uk,London,,1965,,7,7,,,,,,cheese,Outbreak in London associated with pecorino cheese imported from Italy.,,,Brucella melitensis,-0.1277583,51.5073509
1028,1028,1491,brucellosis,0,0,uk,Northern Ireland,,2009,,,,y,,,,dogs,,Outbreak on a puppy farm.,,,,-6.4923145,54.7877149
1029,1029,1492,brucellosis,0,0,uk,Northern Ireland,,2010*,,,,y,,,,cattle,,Outbreak involved 387 herds.,,,,-6.4923145,54.7877149
1030,1030,1585,brucellosis,0,0,usa,Michigan (Lansing),,1938 - 1939,,80,80,,1,1,,students,water,Outbreak on a campus ascribed to contaminated water.,university,,,-84.5555347,42.732535
1031,1031,1586,brucellosis,0,0,usa,Maryland,,1948*,,,,,,,,,,,,,,-76.6412712,39.0457549
1032,1032,1587,brucellosis,0,0,usa,Iowa,,1959 - 1960,,128,,,,,,,,,meat processing plant,,,-93.097702,41.8780025
1033,1033,1588,brucellosis,0,0,usa,Texas,,1970*,,,,,,,,animals,,,,,,-99.9018131,31.9685988
